Day_of_Week,Age_of_Driver,Sex,Educational_Level,Vehicle_Driver,Driving_Experience,Speed_Limit,Weather,Road_Light_Conditions,Road_Surface_Conditions,Cause_of_Accident,Accident_Severity
Monday,58,Male,Illiterate,Lorry,27,100,Fog,Daylight,Wet,Drunk Driving,Fatal Injury
Tuesday,28,Female,Primary,Taxi,10,60,Cloudy,Daylight,Wet,Fatigue,Slight Injury
Tuesday,21,Male,Primary,Taxi,7,80,Rain,Twilight,Wet,Overspeed,Fatal Injury
Monday,51,Male,Tertiary,Bus,2,70,Cloudy,Night,Snow,Fatigue,Serious Injury
Sunday,55,Male,Primary,Lorry,22,80,Fog,Daylight,Ice,Distracted,Serious Injury
Tuesday,63,Male,Primary,Taxi,6,80,Cloudy,Night,Dry,Overspeed,Serious Injury
Saturday,21,Male,Illiterate,Motorcycle,22,40,Cloudy,Daylight,Ice,Overspeed,Serious Injury
Saturday,55,Male,Secondary,Bus,28,30,Cloudy,Night,Wet,Overspeed,Serious Injury
Monday,36,Male,Illiterate,Automobile,6,30,Fog,Night,Dry,Drunk Driving,Serious Injury
Friday,23,Male,Secondary,Bus,13,80,Cloudy,Night,Dry,Overspeed,Serious Injury
Friday,51,Female,Tertiary,Motorcycle,1,60,Clear,Daylight,Snow,Fatigue,Serious Injury
Monday,35,Female,Primary,Lorry,9,30,Fog,Twilight,Ice,Drunk Driving,Serious Injury
Friday,30,Male,Tertiary,Automobile,18,80,Cloudy,Twilight,Snow,Overspeed,Serious Injury
Sunday,58,Male,Secondary,Automobile,25,30,Clear,Twilight,Wet,Fatigue,Slight Injury
Sunday,40,Female,Illiterate,Lorry,8,60,Cloudy,Night,Ice,Fatigue,Slight Injury
Friday,36,Male,Illiterate,Bus,15,70,Rain,Daylight,Wet,Mechanical Failure,Serious Injury
Saturday,62,Male,Tertiary,Taxi,18,100,Cloudy,Night,Snow,Fatigue,Serious Injury
Friday,28,Female,Secondary,Bus,17,80,Cloudy,Daylight,Snow,Weather,Serious Injury
Sunday,18,Male,Tertiary,Motorcycle,8,50,Rain,Night,Dry,Distracted,Slight Injury
Wednesday,41,Male,Tertiary,Taxi,15,50,Fog,Daylight,Ice,Overspeed,Serious Injury
Thursday,24,Female,Primary,Bus,12,80,Rain,Daylight,Ice,Overspeed,Fatal Injury
Tuesday,42,Male,Tertiary,Lorry,9,40,Fog,Daylight,Dry,Overspeed,Serious Injury
Wednesday,38,Male,Primary,Motorcycle,24,70,Rain,Night,Ice,Fatigue,Serious Injury
Friday,32,Female,Primary,Motorcycle,19,40,Cloudy,Twilight,Wet,Fatigue,Slight Injury
Saturday,18,Male,Illiterate,Motorcycle,13,100,Cloudy,Night,Wet,Overspeed,Fatal Injury
Monday,29,Female,Primary,Taxi,11,50,Fog,Night,Snow,Weather,Slight Injury
Friday,24,Male,Primary,Automobile,24,60,Fog,Daylight,Wet,Drunk Driving,Serious Injury
Saturday,32,Male,Illiterate,Taxi,18,80,Clear,Daylight,Ice,Drunk Driving,Serious Injury
Thursday,38,Female,Tertiary,Bus,6,100,Clear,Twilight,Dry,Distracted,Slight Injury
Friday,36,Female,Secondary,Automobile,22,30,Cloudy,Twilight,Snow,Mechanical Failure,Slight Injury
Sunday,46,Male,Secondary,Bus,14,50,Cloudy,Daylight,Dry,Distracted,Slight Injury
Monday,42,Female,Secondary,Automobile,15,70,Clear,Twilight,Snow,Overspeed,Serious Injury
Saturday,50,Female,Tertiary,Taxi,26,50,Clear,Twilight,Snow,Overspeed,Serious Injury
Saturday,66,Male,Primary,Motorcycle,7,70,Fog,Daylight,Dry,Overspeed,Serious Injury
Saturday,49,Male,Secondary,Lorry,9,70,Rain,Night,Wet,Mechanical Failure,Serious Injury
Thursday,66,Male,Tertiary,Motorcycle,3,80,Fog,Twilight,Wet,Fatigue,Serious Injury
Friday,52,Female,Primary,Taxi,18,70,Clear,Daylight,Wet,Mechanical Failure,Serious Injury
Thursday,61,Female,Illiterate,Automobile,18,40,Cloudy,Twilight,Wet,Distracted,Slight Injury
Tuesday,55,Female,Secondary,Motorcycle,27,100,Clear,Twilight,Dry,Fatigue,Slight Injury
Tuesday,43,Female,Primary,Taxi,20,60,Cloudy,Daylight,Ice,Fatigue,Slight Injury
Friday,28,Male,Secondary,Bus,26,50,Cloudy,Twilight,Snow,Distracted,Slight Injury
Sunday,52,Female,Secondary,Lorry,14,60,Cloudy,Twilight,Dry,Fatigue,Slight Injury
Thursday,25,Male,Secondary,Motorcycle,13,100,Cloudy,Twilight,Wet,Drunk Driving,Serious Injury
Monday,63,Female,Primary,Automobile,0,30,Rain,Night,Wet,Distracted,Serious Injury
Saturday,31,Male,Tertiary,Bus,15,100,Clear,Night,Dry,Distracted,Slight Injury
Saturday,27,Male,Primary,Taxi,9,50,Fog,Twilight,Snow,Drunk Driving,Serious Injury
Friday,19,Male,Secondary,Lorry,18,60,Cloudy,Daylight,Dry,Mechanical Failure,Slight Injury
Sunday,63,Female,Primary,Automobile,29,60,Cloudy,Twilight,Dry,Mechanical Failure,Slight Injury
Tuesday,26,Male,Illiterate,Taxi,21,80,Fog,Twilight,Ice,Mechanical Failure,Serious Injury
Tuesday,20,Male,Tertiary,Taxi,2,80,Fog,Night,Dry,Fatigue,Fatal Injury
Saturday,38,Female,Primary,Motorcycle,4,100,Cloudy,Night,Ice,Drunk Driving,Serious Injury
Friday,43,Male,Illiterate,Motorcycle,8,100,Fog,Night,Snow,Distracted,Serious Injury
Thursday,25,Female,Tertiary,Automobile,17,30,Fog,Twilight,Dry,Distracted,Slight Injury
Tuesday,65,Female,Illiterate,Taxi,10,70,Rain,Twilight,Dry,Distracted,Serious Injury
Thursday,19,Male,Tertiary,Motorcycle,15,50,Fog,Daylight,Wet,Fatigue,Serious Injury
Sunday,23,Male,Primary,Lorry,1,80,Clear,Twilight,Dry,Fatigue,Serious Injury
Tuesday,45,Female,Illiterate,Lorry,11,50,Clear,Twilight,Wet,Weather,Slight Injury
Tuesday,46,Male,Secondary,Taxi,21,30,Clear,Night,Wet,Mechanical Failure,Slight Injury
Wednesday,43,Female,Illiterate,Motorcycle,5,80,Cloudy,Night,Wet,Weather,Serious Injury
Tuesday,42,Female,Tertiary,Automobile,10,80,Clear,Night,Snow,Weather,Serious Injury
Monday,29,Female,Primary,Automobile,26,70,Rain,Night,Ice,Fatigue,Serious Injury
Friday,22,Male,Tertiary,Automobile,7,50,Clear,Night,Wet,Mechanical Failure,Slight Injury
Friday,51,Female,Illiterate,Lorry,11,50,Cloudy,Daylight,Dry,Mechanical Failure,Slight Injury
Thursday,65,Male,Illiterate,Motorcycle,28,50,Rain,Daylight,Dry,Distracted,Slight Injury
Sunday,54,Male,Secondary,Motorcycle,26,70,Clear,Daylight,Wet,Fatigue,Serious Injury
Tuesday,32,Male,Primary,Lorry,29,80,Rain,Night,Wet,Mechanical Failure,Serious Injury
Monday,61,Male,Primary,Automobile,1,30,Rain,Night,Dry,Weather,Serious Injury
Thursday,53,Female,Illiterate,Automobile,8,50,Cloudy,Night,Wet,Drunk Driving,Serious Injury
Wednesday,32,Male,Primary,Taxi,14,60,Cloudy,Daylight,Ice,Drunk Driving,Serious Injury
Thursday,60,Female,Secondary,Bus,1,70,Rain,Night,Ice,Fatigue,Fatal Injury
Thursday,65,Female,Tertiary,Motorcycle,28,40,Clear,Daylight,Snow,Distracted,Slight Injury
Tuesday,40,Male,Primary,Motorcycle,0,30,Cloudy,Night,Wet,Distracted,Serious Injury
Wednesday,23,Female,Illiterate,Motorcycle,9,60,Rain,Twilight,Snow,Mechanical Failure,Serious Injury
Thursday,63,Female,Tertiary,Bus,1,50,Fog,Daylight,Snow,Fatigue,Serious Injury
Monday,67,Male,Tertiary,Taxi,11,40,Fog,Twilight,Snow,Drunk Driving,Serious Injury
Monday,61,Female,Secondary,Bus,22,30,Cloudy,Daylight,Wet,Weather,Slight Injury
Friday,60,Female,Illiterate,Automobile,7,70,Clear,Night,Snow,Mechanical Failure,Serious Injury
Wednesday,62,Female,Primary,Automobile,4,40,Fog,Night,Ice,Weather,Slight Injury
Wednesday,38,Female,Illiterate,Motorcycle,21,80,Fog,Twilight,Snow,Mechanical Failure,Serious Injury
Friday,40,Male,Tertiary,Lorry,27,100,Fog,Night,Ice,Overspeed,Fatal Injury
Thursday,60,Female,Illiterate,Motorcycle,0,40,Clear,Daylight,Ice,Weather,Serious Injury
Wednesday,33,Female,Primary,Lorry,14,100,Clear,Night,Wet,Fatigue,Serious Injury
Monday,64,Female,Primary,Bus,5,60,Cloudy,Night,Snow,Weather,Slight Injury
Monday,32,Female,Secondary,Automobile,11,30,Cloudy,Daylight,Wet,Weather,Slight Injury
Tuesday,42,Male,Primary,Lorry,7,60,Fog,Twilight,Ice,Mechanical Failure,Slight Injury
Wednesday,53,Female,Primary,Bus,12,60,Clear,Twilight,Dry,Drunk Driving,Slight Injury
Thursday,28,Male,Illiterate,Automobile,18,50,Rain,Night,Snow,Overspeed,Serious Injury
Friday,68,Female,Illiterate,Lorry,26,70,Fog,Daylight,Wet,Weather,Serious Injury
Friday,32,Male,Tertiary,Motorcycle,0,40,Cloudy,Twilight,Dry,Drunk Driving,Serious Injury
Thursday,21,Male,Secondary,Motorcycle,10,30,Clear,Twilight,Snow,Distracted,Slight Injury
Sunday,38,Male,Illiterate,Motorcycle,19,80,Cloudy,Night,Snow,Overspeed,Serious Injury
Saturday,30,Male,Primary,Bus,0,70,Cloudy,Daylight,Wet,Overspeed,Fatal Injury
Tuesday,39,Male,Tertiary,Motorcycle,29,70,Clear,Twilight,Dry,Mechanical Failure,Slight Injury
Friday,36,Female,Illiterate,Taxi,7,30,Fog,Night,Wet,Weather,Slight Injury
Wednesday,51,Female,Secondary,Automobile,4,70,Clear,Night,Snow,Distracted,Serious Injury
Tuesday,31,Female,Secondary,Bus,16,50,Fog,Night,Snow,Mechanical Failure,Slight Injury
Wednesday,21,Male,Tertiary,Motorcycle,29,70,Cloudy,Night,Ice,Fatigue,Serious Injury
Sunday,65,Female,Tertiary,Automobile,7,50,Clear,Twilight,Snow,Drunk Driving,Serious Injury
Monday,69,Male,Tertiary,Lorry,24,40,Rain,Daylight,Snow,Drunk Driving,Serious Injury
Tuesday,63,Male,Tertiary,Motorcycle,9,40,Fog,Night,Dry,Mechanical Failure,Slight Injury
Friday,44,Female,Tertiary,Automobile,1,60,Rain,Night,Dry,Drunk Driving,Serious Injury
Tuesday,46,Female,Primary,Taxi,8,50,Fog,Twilight,Ice,Weather,Slight Injury
Tuesday,64,Male,Primary,Lorry,23,80,Clear,Night,Ice,Drunk Driving,Serious Injury
Tuesday,45,Male,Illiterate,Taxi,22,40,Rain,Night,Ice,Weather,Slight Injury
Saturday,52,Female,Secondary,Automobile,2,70,Clear,Daylight,Wet,Fatigue,Serious Injury
Tuesday,25,Female,Primary,Taxi,17,30,Fog,Night,Wet,Distracted,Slight Injury
Wednesday,33,Female,Primary,Automobile,6,30,Fog,Twilight,Ice,Overspeed,Serious Injury
Monday,59,Female,Primary,Automobile,14,100,Fog,Daylight,Wet,Mechanical Failure,Serious Injury
Sunday,53,Male,Illiterate,Taxi,20,50,Fog,Twilight,Snow,Mechanical Failure,Slight Injury
Thursday,47,Female,Tertiary,Automobile,21,80,Cloudy,Daylight,Ice,Weather,Serious Injury
Tuesday,35,Female,Illiterate,Motorcycle,19,60,Fog,Daylight,Ice,Fatigue,Slight Injury
Friday,19,Female,Secondary,Automobile,17,70,Rain,Night,Wet,Fatigue,Serious Injury
Tuesday,66,Male,Secondary,Bus,24,50,Fog,Night,Dry,Overspeed,Serious Injury
Friday,30,Male,Secondary,Automobile,2,100,Clear,Night,Ice,Distracted,Serious Injury
Wednesday,21,Male,Secondary,Bus,27,30,Cloudy,Twilight,Wet,Mechanical Failure,Slight Injury
Friday,43,Male,Primary,Automobile,29,50,Rain,Night,Wet,Weather,Slight Injury
Thursday,42,Female,Primary,Automobile,22,70,Cloudy,Night,Dry,Fatigue,Slight Injury
Monday,47,Male,Illiterate,Taxi,13,80,Cloudy,Daylight,Ice,Mechanical Failure,Serious Injury
Friday,28,Female,Tertiary,Motorcycle,23,80,Cloudy,Night,Dry,Weather,Slight Injury
Friday,24,Female,Secondary,Motorcycle,1,40,Clear,Night,Snow,Drunk Driving,Fatal Injury
Monday,48,Female,Illiterate,Lorry,13,70,Cloudy,Night,Dry,Mechanical Failure,Slight Injury
Thursday,61,Female,Primary,Taxi,21,100,Cloudy,Night,Dry,Distracted,Slight Injury
Tuesday,27,Male,Primary,Taxi,10,40,Fog,Daylight,Wet,Weather,Slight Injury
Friday,56,Male,Tertiary,Motorcycle,15,40,Clear,Night,Dry,Distracted,Slight Injury
Monday,30,Male,Tertiary,Taxi,7,40,Rain,Daylight,Snow,Mechanical Failure,Slight Injury
Wednesday,48,Female,Tertiary,Motorcycle,6,50,Rain,Twilight,Wet,Drunk Driving,Serious Injury
Monday,24,Female,Illiterate,Taxi,10,100,Rain,Night,Snow,Distracted,Serious Injury
Wednesday,66,Female,Primary,Automobile,2,30,Clear,Night,Dry,Fatigue,Slight Injury
Thursday,59,Female,Primary,Motorcycle,16,80,Rain,Night,Snow,Weather,Serious Injury
Tuesday,59,Female,Tertiary,Motorcycle,13,50,Clear,Daylight,Snow,Mechanical Failure,Slight Injury
Monday,53,Male,Secondary,Bus,5,30,Fog,Night,Dry,Drunk Driving,Serious Injury
Sunday,37,Female,Tertiary,Taxi,7,80,Fog,Night,Dry,Fatigue,Serious Injury
Sunday,21,Male,Illiterate,Taxi,21,100,Clear,Twilight,Wet,Mechanical Failure,Serious Injury
Saturday,24,Female,Tertiary,Motorcycle,4,100,Rain,Daylight,Wet,Drunk Driving,Fatal Injury
Friday,18,Female,Tertiary,Automobile,26,70,Clear,Daylight,Ice,Fatigue,Serious Injury
Thursday,61,Male,Illiterate,Automobile,27,80,Clear,Twilight,Wet,Distracted,Serious Injury
Monday,62,Male,Tertiary,Automobile,7,80,Cloudy,Daylight,Dry,Mechanical Failure,Slight Injury
Sunday,59,Female,Primary,Taxi,1,100,Clear,Night,Snow,Mechanical Failure,Serious Injury
Friday,64,Female,Secondary,Bus,14,80,Cloudy,Night,Snow,Distracted,Serious Injury
Sunday,30,Female,Tertiary,Motorcycle,11,60,Fog,Twilight,Wet,Overspeed,Serious Injury
Monday,39,Female,Illiterate,Lorry,16,70,Cloudy,Daylight,Wet,Fatigue,Serious Injury
Wednesday,38,Male,Secondary,Bus,0,50,Clear,Daylight,Dry,Distracted,Slight Injury
Monday,39,Female,Illiterate,Lorry,14,50,Fog,Daylight,Snow,Mechanical Failure,Slight Injury
Saturday,45,Male,Secondary,Bus,13,30,Cloudy,Twilight,Ice,Fatigue,Slight Injury
Monday,26,Female,Secondary,Automobile,19,50,Clear,Night,Ice,Fatigue,Slight Injury
Monday,43,Male,Tertiary,Taxi,21,40,Fog,Twilight,Wet,Overspeed,Serious Injury
Saturday,26,Male,Primary,Lorry,15,80,Cloudy,Night,Ice,Mechanical Failure,Serious Injury
Thursday,32,Female,Tertiary,Bus,28,50,Clear,Twilight,Dry,Drunk Driving,Slight Injury
Monday,27,Male,Illiterate,Taxi,8,30,Clear,Night,Ice,Overspeed,Serious Injury
Saturday,41,Female,Illiterate,Lorry,0,30,Rain,Daylight,Wet,Overspeed,Fatal Injury
Friday,59,Male,Secondary,Motorcycle,27,40,Rain,Daylight,Dry,Drunk Driving,Serious Injury
Wednesday,25,Female,Secondary,Bus,16,30,Cloudy,Daylight,Snow,Drunk Driving,Serious Injury
Wednesday,41,Male,Primary,Motorcycle,28,100,Cloudy,Twilight,Dry,Overspeed,Serious Injury
Monday,33,Female,Tertiary,Automobile,12,60,Cloudy,Twilight,Wet,Fatigue,Slight Injury
Thursday,66,Female,Illiterate,Motorcycle,20,100,Clear,Twilight,Wet,Distracted,Serious Injury
Thursday,43,Male,Secondary,Motorcycle,25,80,Cloudy,Daylight,Ice,Distracted,Serious Injury
Friday,44,Male,Primary,Bus,20,80,Clear,Night,Ice,Overspeed,Serious Injury
Monday,54,Male,Illiterate,Automobile,4,80,Cloudy,Daylight,Snow,Fatigue,Serious Injury
Wednesday,21,Male,Secondary,Motorcycle,9,70,Clear,Daylight,Snow,Drunk Driving,Fatal Injury
Thursday,67,Female,Illiterate,Taxi,5,50,Clear,Night,Wet,Weather,Slight Injury
Monday,41,Male,Primary,Lorry,23,60,Rain,Night,Wet,Overspeed,Serious Injury
Sunday,36,Female,Primary,Motorcycle,18,50,Fog,Night,Wet,Mechanical Failure,Slight Injury
Thursday,53,Male,Illiterate,Automobile,24,60,Clear,Night,Snow,Fatigue,Slight Injury
Saturday,56,Female,Tertiary,Motorcycle,12,50,Cloudy,Daylight,Wet,Mechanical Failure,Slight Injury
Sunday,27,Female,Illiterate,Lorry,0,40,Rain,Twilight,Snow,Mechanical Failure,Serious Injury
Thursday,42,Female,Secondary,Automobile,19,100,Cloudy,Daylight,Wet,Overspeed,Serious Injury
Wednesday,35,Female,Tertiary,Bus,24,30,Cloudy,Night,Dry,Fatigue,Slight Injury
Tuesday,36,Male,Secondary,Automobile,14,30,Clear,Twilight,Dry,Mechanical Failure,Slight Injury
Sunday,53,Male,Illiterate,Bus,13,100,Clear,Twilight,Wet,Fatigue,Serious Injury
Friday,27,Female,Tertiary,Automobile,7,40,Fog,Daylight,Dry,Distracted,Slight Injury
Friday,50,Male,Secondary,Lorry,9,60,Clear,Daylight,Snow,Weather,Slight Injury
Wednesday,67,Male,Illiterate,Lorry,8,100,Clear,Daylight,Ice,Mechanical Failure,Serious Injury
Thursday,22,Female,Illiterate,Automobile,16,70,Fog,Twilight,Dry,Mechanical Failure,Serious Injury
Monday,64,Male,Tertiary,Motorcycle,8,60,Cloudy,Twilight,Ice,Fatigue,Slight Injury
Thursday,66,Male,Illiterate,Lorry,2,30,Fog,Twilight,Dry,Weather,Serious Injury
Wednesday,52,Male,Primary,Bus,10,70,Fog,Night,Snow,Distracted,Serious Injury
Friday,61,Female,Secondary,Bus,11,50,Fog,Night,Dry,Mechanical Failure,Slight Injury
Thursday,51,Male,Secondary,Taxi,9,70,Rain,Daylight,Dry,Overspeed,Serious Injury
Friday,50,Female,Illiterate,Bus,24,60,Cloudy,Twilight,Wet,Fatigue,Slight Injury
Sunday,38,Male,Illiterate,Taxi,16,40,Rain,Daylight,Ice,Fatigue,Slight Injury
Monday,34,Male,Primary,Automobile,16,50,Rain,Twilight,Ice,Mechanical Failure,Slight Injury
Sunday,39,Male,Tertiary,Automobile,24,60,Clear,Daylight,Snow,Distracted,Slight Injury
Friday,65,Female,Illiterate,Automobile,10,50,Fog,Night,Snow,Mechanical Failure,Slight Injury
Friday,54,Female,Illiterate,Motorcycle,29,70,Fog,Twilight,Ice,Drunk Driving,Fatal Injury
Tuesday,32,Male,Illiterate,Motorcycle,21,30,Rain,Night,Wet,Mechanical Failure,Slight Injury
Tuesday,52,Female,Illiterate,Taxi,3,60,Clear,Twilight,Wet,Weather,Slight Injury
Sunday,45,Male,Secondary,Bus,6,40,Clear,Daylight,Ice,Weather,Slight Injury
Saturday,24,Female,Illiterate,Bus,20,100,Clear,Twilight,Dry,Drunk Driving,Serious Injury
Sunday,49,Female,Secondary,Automobile,25,70,Cloudy,Night,Ice,Weather,Serious Injury
Tuesday,28,Male,Illiterate,Lorry,13,60,Rain,Twilight,Dry,Weather,Slight Injury
Friday,27,Male,Tertiary,Motorcycle,6,40,Cloudy,Daylight,Ice,Overspeed,Serious Injury
Wednesday,26,Male,Primary,Motorcycle,23,60,Clear,Twilight,Dry,Fatigue,Slight Injury
Sunday,31,Male,Tertiary,Automobile,7,70,Clear,Night,Wet,Weather,Serious Injury
Friday,30,Female,Illiterate,Motorcycle,0,60,Clear,Daylight,Ice,Fatigue,Serious Injury
Wednesday,42,Female,Illiterate,Automobile,23,50,Fog,Night,Snow,Distracted,Slight Injury
Wednesday,19,Female,Illiterate,Taxi,21,70,Rain,Twilight,Dry,Mechanical Failure,Serious Injury
Tuesday,52,Male,Tertiary,Bus,3,60,Fog,Night,Wet,Overspeed,Serious Injury
Sunday,24,Male,Illiterate,Lorry,28,100,Cloudy,Twilight,Snow,Drunk Driving,Fatal Injury
Thursday,38,Female,Tertiary,Bus,29,30,Fog,Daylight,Wet,Distracted,Slight Injury
Monday,35,Male,Secondary,Bus,11,60,Rain,Night,Dry,Overspeed,Serious Injury
Tuesday,20,Female,Primary,Taxi,23,50,Fog,Night,Ice,Overspeed,Serious Injury
Tuesday,59,Female,Primary,Motorcycle,2,40,Clear,Twilight,Wet,Drunk Driving,Serious Injury
Thursday,56,Female,Tertiary,Lorry,12,100,Cloudy,Night,Ice,Drunk Driving,Serious Injury
Monday,58,Female,Secondary,Motorcycle,19,40,Cloudy,Night,Ice,Fatigue,Slight Injury
Friday,66,Female,Tertiary,Bus,5,100,Clear,Daylight,Wet,Mechanical Failure,Serious Injury
Saturday,28,Male,Secondary,Automobile,10,40,Clear,Twilight,Wet,Distracted,Slight Injury
Sunday,56,Male,Illiterate,Bus,22,30,Clear,Twilight,Wet,Mechanical Failure,Slight Injury
Saturday,41,Male,Secondary,Motorcycle,3,50,Rain,Daylight,Ice,Distracted,Slight Injury
Friday,63,Female,Secondary,Bus,19,70,Fog,Daylight,Snow,Overspeed,Fatal Injury
Tuesday,36,Female,Secondary,Automobile,15,40,Cloudy,Twilight,Dry,Weather,Slight Injury
Monday,21,Female,Primary,Taxi,6,100,Fog,Daylight,Snow,Weather,Serious Injury
Tuesday,43,Female,Secondary,Motorcycle,21,50,Clear,Daylight,Ice,Drunk Driving,Serious Injury
Wednesday,55,Male,Illiterate,Bus,28,60,Clear,Daylight,Wet,Drunk Driving,Serious Injury
Tuesday,59,Male,Illiterate,Motorcycle,10,30,Fog,Twilight,Wet,Overspeed,Serious Injury
Tuesday,49,Female,Illiterate,Taxi,23,50,Cloudy,Daylight,Dry,Overspeed,Slight Injury
Friday,56,Female,Secondary,Bus,0,50,Rain,Night,Dry,Distracted,Serious Injury
Friday,62,Female,Tertiary,Bus,25,70,Fog,Night,Snow,Overspeed,Fatal Injury
Friday,63,Male,Tertiary,Motorcycle,28,50,Clear,Twilight,Snow,Distracted,Slight Injury
Saturday,53,Male,Illiterate,Motorcycle,26,70,Clear,Daylight,Dry,Mechanical Failure,Slight Injury
Wednesday,57,Male,Primary,Automobile,6,30,Rain,Night,Ice,Drunk Driving,Serious Injury
Friday,54,Female,Tertiary,Taxi,11,30,Fog,Twilight,Snow,Drunk Driving,Serious Injury
Monday,50,Female,Secondary,Automobile,6,60,Rain,Night,Wet,Weather,Slight Injury
Saturday,53,Male,Tertiary,Bus,26,70,Rain,Daylight,Wet,Weather,Serious Injury
Thursday,20,Female,Illiterate,Motorcycle,22,70,Cloudy,Twilight,Ice,Drunk Driving,Fatal Injury
Monday,26,Male,Primary,Bus,6,40,Cloudy,Night,Dry,Mechanical Failure,Slight Injury
Sunday,25,Female,Tertiary,Bus,9,40,Clear,Twilight,Snow,Mechanical Failure,Slight Injury
Sunday,50,Male,Tertiary,Lorry,29,60,Fog,Night,Wet,Fatigue,Slight Injury
Monday,23,Female,Illiterate,Lorry,15,30,Cloudy,Night,Dry,Distracted,Slight Injury
Friday,58,Male,Primary,Bus,25,80,Clear,Daylight,Snow,Weather,Serious Injury
Thursday,56,Male,Primary,Motorcycle,7,40,Fog,Daylight,Ice,Distracted,Slight Injury
Thursday,21,Male,Illiterate,Bus,8,50,Clear,Night,Wet,Weather,Slight Injury
Saturday,30,Male,Secondary,Lorry,8,30,Cloudy,Twilight,Ice,Fatigue,Slight Injury
Thursday,66,Male,Tertiary,Motorcycle,1,80,Clear,Twilight,Ice,Drunk Driving,Fatal Injury
Sunday,19,Male,Secondary,Bus,12,50,Fog,Daylight,Ice,Distracted,Serious Injury
Wednesday,22,Female,Tertiary,Taxi,12,100,Fog,Night,Snow,Weather,Serious Injury
Friday,61,Female,Tertiary,Taxi,22,70,Clear,Daylight,Ice,Distracted,Serious Injury
Thursday,44,Female,Secondary,Bus,22,30,Fog,Night,Snow,Drunk Driving,Serious Injury
Saturday,49,Male,Illiterate,Motorcycle,3,100,Clear,Night,Snow,Overspeed,Serious Injury
Sunday,38,Male,Illiterate,Bus,24,60,Fog,Daylight,Ice,Weather,Slight Injury
Wednesday,25,Female,Tertiary,Bus,23,70,Clear,Twilight,Ice,Overspeed,Serious Injury
Tuesday,55,Male,Illiterate,Lorry,11,70,Clear,Daylight,Dry,Fatigue,Slight Injury
Tuesday,25,Male,Tertiary,Taxi,16,50,Clear,Night,Wet,Mechanical Failure,Slight Injury
Wednesday,67,Male,Illiterate,Lorry,1,100,Rain,Daylight,Dry,Distracted,Serious Injury
Sunday,20,Male,Tertiary,Lorry,12,70,Fog,Twilight,Wet,Weather,Serious Injury
Saturday,61,Male,Illiterate,Bus,28,40,Cloudy,Twilight,Wet,Distracted,Slight Injury
Wednesday,20,Female,Primary,Lorry,17,30,Clear,Night,Dry,Fatigue,Slight Injury
Friday,39,Female,Secondary,Taxi,27,40,Rain,Daylight,Dry,Fatigue,Slight Injury
Friday,23,Female,Primary,Lorry,27,50,Cloudy,Twilight,Wet,Distracted,Slight Injury
Tuesday,19,Female,Secondary,Taxi,26,80,Clear,Daylight,Wet,Weather,Serious Injury
Thursday,40,Female,Secondary,Lorry,14,50,Cloudy,Twilight,Wet,Drunk Driving,Serious Injury
Saturday,61,Male,Tertiary,Taxi,7,30,Rain,Night,Snow,Drunk Driving,Serious Injury
Tuesday,19,Male,Secondary,Lorry,14,70,Cloudy,Night,Wet,Mechanical Failure,Serious Injury
Thursday,55,Male,Primary,Lorry,0,100,Clear,Daylight,Ice,Distracted,Serious Injury
Thursday,34,Male,Primary,Motorcycle,19,100,Cloudy,Night,Ice,Distracted,Serious Injury
Friday,52,Female,Illiterate,Taxi,9,60,Cloudy,Twilight,Ice,Weather,Slight Injury
Sunday,51,Female,Primary,Taxi,11,50,Clear,Night,Dry,Distracted,Slight Injury
Monday,40,Female,Illiterate,Taxi,4,30,Rain,Twilight,Dry,Weather,Slight Injury
Sunday,47,Male,Secondary,Automobile,8,60,Rain,Twilight,Dry,Distracted,Slight Injury
Monday,69,Female,Primary,Lorry,22,70,Cloudy,Night,Wet,Fatigue,Serious Injury
Wednesday,25,Male,Secondary,Taxi,7,80,Fog,Twilight,Ice,Overspeed,Fatal Injury
Friday,39,Female,Primary,Automobile,15,50,Cloudy,Twilight,Wet,Distracted,Slight Injury
Thursday,61,Female,Primary,Motorcycle,13,80,Fog,Daylight,Snow,Overspeed,Fatal Injury
Saturday,53,Male,Illiterate,Taxi,26,30,Cloudy,Daylight,Snow,Drunk Driving,Serious Injury
Monday,22,Male,Secondary,Taxi,24,80,Rain,Daylight,Dry,Mechanical Failure,Serious Injury
Sunday,30,Female,Primary,Automobile,12,80,Cloudy,Night,Snow,Drunk Driving,Serious Injury
Thursday,46,Female,Tertiary,Lorry,22,30,Cloudy,Daylight,Ice,Distracted,Slight Injury
Monday,48,Male,Secondary,Motorcycle,20,30,Fog,Twilight,Snow,Weather,Slight Injury
Monday,64,Female,Secondary,Taxi,12,50,Rain,Night,Dry,Drunk Driving,Serious Injury
Monday,33,Female,Secondary,Lorry,4,80,Fog,Night,Wet,Fatigue,Serious Injury
Saturday,59,Male,Illiterate,Motorcycle,15,60,Cloudy,Night,Snow,Overspeed,Serious Injury
Friday,47,Female,Tertiary,Bus,25,30,Clear,Night,Ice,Weather,Slight Injury
Saturday,33,Male,Secondary,Bus,10,70,Cloudy,Twilight,Ice,Weather,Serious Injury
Tuesday,29,Female,Primary,Motorcycle,21,80,Cloudy,Twilight,Ice,Distracted,Serious Injury
Thursday,34,Male,Primary,Automobile,4,30,Fog,Daylight,Wet,Fatigue,Slight Injury
